route,direction,vehicle_id,trip_idx,arrival_time,departure_time
47037--48085,forward,19,4,262.5168347255334,276.5168347255334
47037--48085,reverse,19,5,318.5020751597871,332.5020751597871
47037--48085,forward,19,6,374.48731559404087,388.48731559404087
47037--48085,reverse,19,7,430.4725560282946,444.4725560282946
47037--48085,forward,19,8,486.45779646254834,500.45779646254834
47037--48085,forward,20,0,94.56111342277218,108.56111342277218
47037--48085,reverse,20,1,150.5463538570259,164.5463538570259
47037--48085,forward,20,2,206.53159429127965,220.53159429127965
47037--48085,reverse,20,3,262.5168347255334,276.5168347255334
47037--48085,forward,20,4,318.5020751597871,332.5020751597871
47037--48085,reverse,20,5,374.48731559404087,388.48731559404087
47037--48085,forward,20,6,430.4725560282946,444.4725560282946
47037--48085,reverse,20,7,486.45779646254834,500.45779646254834
18063--48113,forward,21,0,47.125448730608866,61.125448730608866
18063--48113,reverse,21,1,103.1106891648626,117.1106891648626
18063--48113,forward,21,2,159.09592959911635,173.09592959911635
18063--48113,reverse,21,3,215.08117003337009,229.08117003337009
18063--48113,forward,21,4,271.0664104676238,285.0664104676238
18063--48113,reverse,21,5,327.05165090187757,341.05165090187757
18063--48113,forward,21,6,383.0368913361313,397.0368913361313
18063--48113,reverse,21,7,439.02213177038504,453.02213177038504
18063--48113,forward,21,8,495.0073722046388,509.0073722046388
18063--48113,forward,22,0,103.1106891648626,117.1106891648626
18063--48113,reverse,22,1,159.09592959911635,173.09592959911635
18063--48113,forward,22,2,215.08117003337009,229.08117003337009
18063--48113,reverse,22,3,271.0664104676238,285.0664104676238
18063--48113,forward,22,4,327.05165090187757,341.05165090187757
18063--48113,reverse,22,5,383.0368913361313,397.0368913361313
18063--48113,forward,22,6,439.02213177038504,453.02213177038504
18063--48113,reverse,22,7,495.0073722046388,509.0073722046388
17197--48121,forward,23,0,35.7333352899838,49.7333352899838
17197--48121,reverse,23,1,119.71119594136441,133.7111959413644
17197--48121,forward,23,2,203.68905659274503,217.68905659274503
17197--48121,reverse,23,3,287.66691724412567,301.66691724412567
17197--48121,forward,23,4,371.6447778955063,385.6447778955063
17197--48121,reverse,23,5,455.62263854688695,469.62263854688695
17197--48121,forward,24,0,119.71119594136441,133.7111959413644
17197--48121,reverse,24,1,203.68905659274503,217.68905659274503
17197--48121,forward,24,2,287.66691724412567,301.66691724412567
17197--48121,reverse,24,3,371.6447778955063,385.6447778955063
17197--48121,forward,24,4,455.62263854688695,469.62263854688695
18097--48113,forward,25,0,80.36059857168935,94.36059857168935
18097--48113,reverse,25,1,164.33845922306995,178.33845922306995
18097--48113,forward,25,2,248.31631987445056,262.3163198744505
18097--48113,reverse,25,3,332.29418052583117,346.29418052583117
18097--48113,forward,25,4,416.2720411772118,430.2720411772118
18097--48113,reverse,25,5,500.24990182859244,514.2499018285924
18097--48113,forward,26,0,164.33845922306995,178.33845922306995
18097--48113,reverse,26,1,248.31631987445056,262.3163198744505
18097--48113,forward,26,2,332.29418052583117,346.29418052583117
18097--48113,reverse,26,3,416.2720411772118,430.2720411772118
18097--48113,forward,26,4,500.24990182859244,514.2499018285924
17163--48085,forward,27,0,69.30969180338155,83.30969180338155
17163--48085,reverse,27,1,111.29862212907186,125.29862212907186
17163--48085,forward,27,2,153.28755245476216,167.28755245476216
17163--48085,reverse,27,3,195.27648278045245,209.27648278045245
17163--48085,forward,27,4,237.26541310614277,251.26541310614277
17163--48085,reverse,27,5,279.2543434318331,293.2543434318331
17163--48085,forward,27,6,321.2432737575234,335.2432737575234
17163--48085,reverse,27,7,363.23220408321373,377.23220408321373
17163--48085,forward,27,8,405.22113440890405,419.22113440890405
17163--48085,reverse,27,9,447.21006473459437,461.21006473459437
17163--48085,forward,27,10,489.1989950602847,503.1989950602847
21111--22017,forward,28,0,56.80519676180232,70.80519676180232
21111--22017,reverse,28,1,140.78305741318292,154.78305741318292
21111--22017,forward,28,2,224.76091806456353,238.76091806456353
21111--22017,reverse,28,3,308.73877871594414,322.73877871594414
21111--22017,forward,28,4,392.7166393673248,406.7166393673248
21111--22017,reverse,28,5,476.6945000187054,490.6945000187054
17197--48113,forward,29,0,96.70227812769382,110.70227812769382
17197--48113,reverse,29,1,180.6801387790744,194.6801387790744
17197--48113,forward,29,2,264.657999430455,278.657999430455
17197--48113,reverse,29,3,348.63586008183563,362.63586008183563
17197--48113,forward,29,4,432.61372073321627,446.61372073321627
17197--48085,forward,30,0,126.52135804582728,140.5213580458273
17197--48085,reverse,30,1,210.49921869720788,224.49921869720788
17197--48085,forward,30,2,294.4770793485885,308.4770793485885
17197--48085,reverse,30,3,378.45493999996916,392.45493999996916
17197--48085,forward,30,4,462.4328006513498,476.4328006513498
47037--22017,forward,31,0,138.9168383353531,152.9168383353531
47037--22017,reverse,31,1,222.89469898673372,236.89469898673372
47037--22017,forward,31,2,306.87255963811435,320.87255963811435
47037--22017,reverse,31,3,390.850420289495,404.850420289495
47037--22017,forward,31,4,474.82828094087563,488.82828094087563
47047--48085,forward,32,0,156.7763316636238,170.7763316636238
47047--48085,reverse,32,1,240.75419231500442,254.75419231500442
47047--48085,forward,32,2,324.732052966385,338.732052966385
47047--48085,reverse,32,3,408.70991361776566,422.70991361776566
47047--48085,forward,32,4,492.6877742691463,506.6877742691463
29095--48121,forward,33,0,24.352688573087875,38.352688573087875
29095--48121,reverse,33,1,108.33054922446848,122.33054922446848
29095--48121,forward,33,2,192.3084098758491,206.3084098758491
29095--48121,reverse,33,3,276.2862705272297,290.2862705272297
29095--48121,forward,33,4,360.26413117861034,374.26413117861034
29095--48121,reverse,33,5,444.241991829991,458.241991829991
39061--22017,forward,34,0,125.22446213494945,139.22446213494945
39061--22017,reverse,34,1,209.20232278633006,223.20232278633006
39061--22017,forward,34,2,293.18018343771064,307.18018343771064
39061--22017,reverse,34,3,377.1580440890913,391.1580440890913
39061--22017,forward,34,4,461.1359047404719,475.1359047404719
05035--48085,forward,35,0,23.40486387161528,37.40486387161528
05035--48085,reverse,35,1,107.38272452299589,121.38272452299589
05035--48085,forward,35,2,191.3605851743765,205.3605851743765
05035--48085,reverse,35,3,275.3384458257571,289.3384458257571
05035--48085,forward,35,4,359.3163064771377,373.3163064771377
05035--48085,reverse,35,5,443.2941671285183,457.2941671285183
18063--22017,forward,36,0,152.25669111464154,166.25669111464154
18063--22017,reverse,36,1,236.23455176602215,250.23455176602215
18063--22017,forward,36,2,320.2124124174028,334.2124124174028
18063--22017,reverse,36,3,404.1902730687834,418.1902730687834
18063--22017,forward,36,4,488.16813372016406,502.16813372016406
29510--48121,forward,37,0,37.977212804770616,51.977212804770616
29510--48121,reverse,37,1,121.95507345615123,135.95507345615124
29510--48121,forward,37,2,205.93293410753182,219.93293410753182
29510--48121,reverse,37,3,289.9107947589124,303.9107947589124
29510--48121,forward,37,4,373.88865541029304,387.88865541029304
29510--48121,reverse,37,5,457.8665160616737,471.8665160616737
